PomBaseIDs,medium,replicate,proteome_fraction
SPBC8D2.04;SPBC1105.11c;SPAC1834.04,Glu,1,3.885871107921548e-4
SPCC16C4.10,Glu,1,2.787114282742803e-4
SPBC646.11,Glu,1,3.189887722430851e-4
SPBC337.05c,Glu,1,3.266046050066838e-4
SPBC30D10.13c,Glu,1,5.254077338578791e-4
SPBC13G1.02,Glu,1,5.279736139266688e-4
SPCC1672.02c,Glu,1,3.586290629873741e-4
SPCC1442.06,Glu,1,1.4318652912734934e-4
SPAC1486.01,Glu,1,4.0041042497603377e-4
SPCC645.08c,Glu,1,4.372131967553115e-4
SPBC14F5.06,Glu,1,2.581628994306463e-4
SPAC6G10.04c,Glu,1,2.790153629486046e-4
SPBC25H2.12c,Glu,1,3.030736549790346e-4
SPCC1682.16,Glu,1,2.546899998677361e-4
SPBC16C6.07c,Glu,1,2.1109593399190168e-4
SPAC1071.07c,Glu,1,3.09600139863039e-4
SPCC18.18c,Glu,1,3.745630041763835e-4
SPCC364.03,Glu,1,3.2661811852964875e-4
SPBC23G7.12c,Glu,1,2.5047114925348196e-4
SPBP4H10.12,Glu,1,1.6443025184670866e-4
SPBC16D10.01c,Glu,1,3.611323941545858e-5
SPBC582.09,Glu,1,1.98235933831567e-4
SPBC12C2.06,Glu,1,2.2675102690561088e-4
SPBPB21E7.07,Glu,1,9.762465929003181e-5
SPBC713.12,Glu,1,5.271626625381749e-4
SPBC21B10.08c,Glu,1,4.8183620218786945e-4
SPAC17A2.03c,Glu,1,1.6990460625178515e-4
SPAC328.03,Glu,1,2.431908708494639e-4
SPCC330.05c,Glu,1,1.6349197748661507e-4
SPAC17G6.06,Glu,1,5.348061553122851e-4
SPCC613.05c,Glu,1,6.795156222250367e-4
SPAC644.15,Glu,1,9.958022565847038e-4
SPBC1685.13,Glu,1,1.2761974864883418e-4
SPAC11G7.03,Glu,1,2.779804996101214e-4
SPAC688.11,Glu,1,2.7530865360311227e-4
SPBC776.09,Glu,1,3.581287309458965e-4
SPBC1685.09,Glu,1,4.258348395877234e-4
SPAC1834.01,Glu,1,2.2259919978165815e-4
SPAC56F8.03,Glu,1,3.561341087042871e-4
SPAC23A1.12c,Glu,1,3.2454860936914805e-4
SPBC4.06,Glu,1,2.9355103412281446e-4
SPAC15E1.03,Glu,1,4.297146395360621e-4
SPBC725.15,Glu,1,2.8717309048328595e-4
SPAC22F8.06,Glu,1,2.884961914745058e-4
SPAC1F7.04,Glu,1,2.565188499771694e-4
SPAC1002.17c,Glu,1,2.079179830064074e-5
SPAC806.04c,Glu,1,1.512817442632159e-4
SPBC4F6.17c,Glu,1,9.910443101612468e-5
SPAC22F8.05,Glu,1,5.4272430887803903e-5
SPAC20H4.09,Glu,1,1.4186931341497456e-4
SPCC338.15,Glu,1,2.631319072479806e-4
SPAC20G8.06,Glu,1,2.362487659616282e-4
SPAC1834.11c,Glu,1,2.4342671136910485e-4
SPCC162.02c,Glu,1,2.0031290730711146e-4
SPBC428.03c,Glu,1,4.8773110592825774e-4
SPAC30.04c,Glu,1,1.4354982287845055e-4
SPBC713.02c,Glu,1,1.539222443140232e-4
SPAPB8E5.09,Glu,1,2.490692643817068e-4
SPAC1805.16c,Glu,1,1.7494089124529138e-4
SPBC56F2.09c,Glu,1,6.073372750376537e-4
SPAC3F10.04,Glu,1,2.0591795285542267e-4
SPAC13C5.01c,Glu,1,1.7798880697053417e-4
SPAC3H1.07,Glu,1,3.4024559387069e-4
SPBC146.07,Glu,1,1.5224024698791693e-5
SPBC3F6.02c,Glu,1,2.7261416088176154e-4
